"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species","redlistCategory","redlistPopulationTrend"
"Rock Pigeon","ROPI","urban_suburban",NA,NA,FALSE,TRUE,TRUE,"Rock Pigeon","Columbiformes","Columbidae","Columba","livia","Least Concern","Unknown"
"Rock Ptarmigan","ROPT","arctic",NA,NA,FALSE,TRUE,TRUE,"Rock Ptarmigan","Galliformes","Phasianidae","Lagopus","muta","Least Concern","Unknown"
"Rock Sandpiper","ROSA","coastal",2360,"Rock Sandpiper",FALSE,TRUE,TRUE,"Rock Sandpiper","Charadriiformes","Scolopacidae","Calidris","ptilocnemis","Least Concern","Decreasing"
"Rock Sandpiper","ROSA","waterbirds",2360,"Rock Sandpiper",FALSE,TRUE,TRUE,"Rock Sandpiper","Charadriiformes","Scolopacidae","Calidris","ptilocnemis","Least Concern","Decreasing"
"Rock Wren","ROWR","aridlands",7150,"Rock Wren",TRUE,TRUE,TRUE,"Rock Wren","Passeriformes","Troglodytidae","Salpinctes","obsoletus","Least Concern","Decreasing"
"Roseate Spoonbill","ROSP","coastal",1830,"Roseate Spoonbill",TRUE,TRUE,TRUE,"Roseate Spoonbill","Pelecaniformes","Threskiornithidae","Platalea","ajaja","Least Concern","Stable"
"Rose-breasted Grosbeak","RBGR","eastern_forests",5950,"Rose-breasted Grosbeak",TRUE,TRUE,TRUE,"Rose-breasted Grosbeak","Passeriformes","Cardinalidae","Pheucticus","ludovicianus","Least Concern","Decreasing"
"Ross's Goose","ROGO","waterbirds",1700,"Ross's Goose",TRUE,TRUE,TRUE,"Ross's Goose","Anseriformes","Anatidae","Anser","rossii","Least Concern","Increasing"
"Rough-legged Hawk","RLHA","arctic",3470,"Rough-legged Hawk",TRUE,TRUE,TRUE,"Rough-legged Hawk","Accipitriformes","Accipitridae","Buteo","lagopus","Least Concern","Stable"
"Royal Tern","ROYT","coastal",650,"Royal Tern",TRUE,TRUE,TRUE,"Royal Tern","Charadriiformes","Laridae","Thalasseus","maximus","Least Concern","Stable"
"Ruby-crowned Kinglet","RCKI","western_forests",7490,"Ruby-crowned Kinglet",TRUE,TRUE,TRUE,"Ruby-crowned Kinglet","Passeriformes","Regulidae","Corthylio","calendula","Least Concern","Increasing"
"Ruby-throated Hummingbird","RTHU","eastern_forests",4280,"Ruby-throated Hummingbird",TRUE,TRUE,TRUE,"Ruby-throated Hummingbird","Apodiformes","Trochilidae","Archilochus","colubris","Least Concern","Increasing"
"Ruddy Duck","RUDU","marshlands",1670,"Ruddy Duck",TRUE,TRUE,TRUE,"Ruddy Duck","Anseriformes","Anatidae","Oxyura","jamaicensis","Least Concern","Decreasing"
"Ruddy Turnstone","RUTU","waterbirds",2830,"Ruddy Turnstone",TRUE,TRUE,TRUE,"Ruddy Turnstone","Charadriiformes","Scolopacidae","Arenaria","interpres","Near Threatened","Decreasing"
"Ruffed Grouse","RUGR","boreal_forests",NA,NA,FALSE,TRUE,TRUE,"Ruffed Grouse","Galliformes","Phasianidae","Bonasa","umbellus","Least Concern","Stable"
"Rufous Hummingbird","RUHU","western_forests",4330,"Rufous Hummingbird",TRUE,TRUE,TRUE,"Rufous Hummingbird","Apodiformes","Trochilidae","Selasphorus","rufus","Near Threatened","Decreasing"
"Rufous-crowned Sparrow","RCSP","aridlands",5800,"Rufous-crowned Sparrow",TRUE,TRUE,TRUE,"Rufous-crowned Sparrow","Passeriformes","Passerellidae","Aimophila","ruficeps","Least Concern","Decreasing"
"Rufous-winged Sparrow","RWSP","aridlands",5790,"Rufous-winged Sparrow",TRUE,TRUE,TRUE,"Rufous-winged Sparrow","Passeriformes","Passerellidae","Peucaea","carpalis","Least Concern","Decreasing"
"Rusty Blackbird","RUBL","boreal_forests",5090,"Rusty Blackbird",TRUE,TRUE,TRUE,"Rusty Blackbird","Passeriformes","Icteridae","Euphagus","carolinus","Vulnerable","Decreasing"
"Sabine's Gull","SAGU","coastal",620,"Sabine's Gull",TRUE,TRUE,TRUE,"Sabine's Gull","Charadriiformes","Laridae","Xema","sabini","Least Concern","Stable"
"Sage Thrasher","SATH","aridlands",7020,"Sage Thrasher",TRUE,TRUE,TRUE,"Sage Thrasher","Passeriformes","Mimidae","Oreoscoptes","montanus","Least Concern","Decreasing"
"Sagebrush Sparrow","SABS","aridlands",NA,NA,FALSE,TRUE,TRUE,"Sagebrush Sparrow","Passeriformes","Passerellidae","Artemisiospiza","nevadensis","Least Concern","Stable"
"Saltmarsh Sparrow","SALS","marshlands",5490,"Saltmarsh Sparrow",TRUE,TRUE,TRUE,"Saltmarsh Sparrow","Passeriformes","Passerellidae","Ammospiza","caudacuta","Endangered","Decreasing"
