"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species"
"Gila Woodpecker","GIWO","aridlands",4110,"Gila Woodpecker",TRUE,TRUE,TRUE,"Gila Woodpecker","Piciformes","Picidae","Melanerpes","uropygialis"
"Gilded Flicker","GIFL","aridlands",4140,"Gilded Flicker",TRUE,TRUE,TRUE,"Gilded Flicker","Piciformes","Picidae","Colaptes","chrysoides"
"Glaucous Gull","GLGU","waterbirds",420,"Glaucous Gull",TRUE,TRUE,TRUE,"Glaucous Gull","Charadriiformes","Laridae","Larus","hyperboreus"
"Glaucous-winged Gull","GWGU","coastal",440,"Glaucous-winged Gull",TRUE,TRUE,TRUE,"Glaucous-winged Gull","Charadriiformes","Laridae","Larus","glaucescens"
"Glossy Ibis","GLIB","marshlands",1860,"Glossy Ibis",TRUE,TRUE,TRUE,"Glossy Ibis","Pelecaniformes","Threskiornithidae","Plegadis","falcinellus"
"Golden Eagle","GOEA","generalists",3490,"Golden Eagle",TRUE,TRUE,TRUE,"Golden Eagle","Accipitriformes","Accipitridae","Aquila","chrysaetos"
"Golden-cheeked Warbler","GCWA","subtropical_forests",6660,"Golden-cheeked Warbler",TRUE,TRUE,TRUE,"Golden-cheeked Warbler","Passeriformes","Parulidae","Setophaga","chrysoparia"
"Golden-crowned Kinglet","GCKI","boreal_forests",7480,"Golden-crowned Kinglet",TRUE,TRUE,TRUE,"Golden-crowned Kinglet","Passeriformes","Regulidae","Regulus","satrapa"
"Golden-crowned Sparrow","GCSP","boreal_forests",5570,"Golden-crowned Sparrow",TRUE,TRUE,TRUE,"Golden-crowned Sparrow","Passeriformes","Passerellidae","Zonotrichia","atricapilla"
"Golden-fronted Woodpecker","GFWO","subtropical_forests",4100,"Golden-fronted Woodpecker",TRUE,TRUE,TRUE,"Golden-fronted Woodpecker","Piciformes","Picidae","Melanerpes","aurifrons"
"Golden-winged Warbler","GWWA","eastern_forests",6420,"Golden-winged Warbler",TRUE,TRUE,TRUE,"Golden-winged Warbler","Passeriformes","Parulidae","Vermivora","chrysoptera"
