"species","species_code","model","mean","q2.5","q5","q95","q97.5","excludes_zero_90","excludes_zero_95","ci_conclusion_changes"
"Ring-necked Duck","RNDU","anthro",-0.758141788486714,-1.65047489,-1.50388625,-0.0124673134000007,0.139543781749999,TRUE,FALSE,TRUE
"Ring-necked Pheasant","RNEP","anthro",2.2359181281125,1.80802867,1.888175315,2.60402458,2.6617982125,TRUE,TRUE,FALSE
"Rock Pigeon","ROPI","anthro",2.456097167425,2.1523575425,2.20118845,2.70951898,2.761558995,TRUE,TRUE,FALSE
"Rock Wren","ROWR","anthro",-1.19533357340012,-1.8995336725,-1.78699697,-0.6046972435,-0.48698418525,TRUE,TRUE,FALSE
"Rose-breasted Grosbeak","RBGR","anthro",-1.09909566157187,-1.4480523375,-1.3945707,-0.800452366,-0.737181591,TRUE,TRUE,FALSE
"Roseate Spoonbill","ROSP","anthro",1.05559101257011,0.00764887801000004,0.182672174,1.9189576,2.07648241,TRUE,TRUE,FALSE
"Royal Tern","ROYT","anthro",0.14628558217461,-1.364667625,-1.128490315,1.44542157,1.6992916775,FALSE,FALSE,FALSE
"Ruby-crowned Kinglet","RCKI","anthro",-3.424431940075,-4.4475848425,-4.30386685,-2.55328113,-2.3964591175,TRUE,TRUE,FALSE
"Ruby-throated Hummingbird","RTHU","anthro",-1.35566903949563,-1.5691690325,-1.536393905,-1.177421275,-1.143794575,TRUE,TRUE,FALSE
"Ruddy Duck","RUDU","anthro",-0.731533798857453,-1.505715775,-1.395489935,-0.0828891201,0.0428066843999995,TRUE,FALSE,TRUE
"Ruffed Grouse","RUGR","anthro",-1.42293783871937,-2.1105770825,-2.003500245,-0.832670283,-0.71813627075,TRUE,TRUE,FALSE
"Rufous Hummingbird","RUHU","anthro",-0.878661616047688,-1.5704923275,-1.468141405,-0.293556723000001,-0.1747618325,TRUE,TRUE,FALSE
"Rufous-crowned Sparrow","RCSP","anthro",-0.760687829133717,-2.1030370775,-1.86495398,0.361957768999999,0.556257166499999,FALSE,FALSE,FALSE
"Rufous-winged Sparrow","RWSP","anthro",-0.530445294777324,-2.372321695,-2.107871745,1.035353525,1.3199984525,FALSE,FALSE,FALSE
"Rusty Blackbird","RUBL","anthro",-0.332422768570139,-2.2522124625,-1.914381285,1.226592055,1.5603346325,FALSE,FALSE,FALSE
